Package                           Size (KB)        Status
=================================-==========-============
ttf-ancient-fonts-symbola             8         installed
language-pack-gnome-it                9         installed
language-pack-es                      9         installed
language-pack-gnome-en                9         installed
language-pack-gnome-fr                9         installed
language-pack-gnome-pt                9         installed
language-pack-de                      9         installed
language-pack-zh-hans                 9         installed
language-pack-en                      9         installed
language-pack-pt                      9         installed
language-pack-fr                      9         installed
language-pack-gnome-de                9         installed
language-pack-gnome-zh-hans           9         installed
language-pack-gnome-es                9         installed
language-pack-gnome-ru                9         installed
language-pack-ru                      9         installed
pyotherside                           9         installed
language-pack-it                      9         installed
myspell-pt                            10        installed
qtdeclarative5-accounts-plugin        10        installed
linux-generic                         11        installed
linux-signed-generic                  11        installed
linux-headers-generic                 11        installed
linux-image-generic                   11        installed
liba11y-profile-manager-data          11        installed
linux-signed-image-generic            11        installed
signon-ui                             12        installed
session-shortcuts                     12        installed
libcolumbus1-common                   12        installed
distro-info-data                      14        installed
app-install-data-partner              15        installed
g++                                   16        installed
signon-ui-service                     16        installed
init                                  16        installed
policykit-desktop-privileges          17        installed
gir1.2-timezonemap-1.0                19        installed
libnet-smtp-ssl-perl                  20        installed
build-essential                       20        installed
libaudit-common                       21        installed
tcl                                   21        installed
libwacom-bin                          21        installed
libpwquality-common                   21        installed
tk                                    21        installed
linux-signed-image-4.4.0-21-generic     21        installed
linux-base                            22        installed
ubuntu-settings                       22        installed
unity-gtk-module-common               22        installed
overlay-scrollbar                     23        installed
fonts-tlwg-sawasdee                   23        installed
fonts-tlwg-typewriter                 23        installed
fonts-tlwg-purisa                     23        installed
libaccount-plugin-generic-oauth       24        installed
libmbim-proxy                         24        installed
fcitx-frontend-all                    24        installed
plainbox-secure-policy                24        installed
gsettings-ubuntu-schemas              24        installed
unity-accessibility-profiles          25        installed
libtext-levenshtein-perl              25        installed
command-not-found                     26        installed
libtext-wrapi18n-perl                 26        installed
libaccount-plugin-google              26        installed
wireless-regdb                        26        installed
libjpeg8                              26        installed
libnatpmp1                            26        installed
a11y-profile-manager                  27        installed
fonts-guru                            27        installed
liburl-dispatcher1                    27        installed
hunspell-fr                           28        installed
libsemanage-common                    28        installed
account-plugin-facebook               28        installed
fonts-thai-tlwg                       29        installed
libharfbuzz-icu0                      29        installed
account-plugin-google                 29        installed
fonts-tlwg-typo                       30        installed
fonts-tlwg-mono                       30        installed
fonts-tlwg-norasi                     30        installed
libproxy1-plugin-networkmanager       30        installed
fonts-tlwg-typist                     30        installed
lupin-casper                          31        installed
gkbd-capplet                          31        installed
account-plugin-flickr                 31        installed
libxcb-dri3-0                         32        installed
fonts-tlwg-garuda                     32        installed
fonts-tlwg-loma                       32        installed
fonts-tlwg-umpush                     32        installed
libencode-locale-perl                 32        installed
libxcb-present0                       32        installed
fonts-tlwg-laksaman                   32        installed
fonts-tlwg-kinnari                    32        installed
fonts-tlwg-waree                      32        installed
libunity-scopes-json-def-desktop      32        installed
rfkill                                33        installed
libxmuu1                              33        installed
kpartx-boot                           33        installed
libwmf0.2-7-gtk                       33        installed
libmythes-1.2-0                       33        installed
unity-scopes-runner                   34        installed
liblouisutdml-bin                     35        installed
libcap-ng0                            35        installed
plymouth-label                        35        installed
fcitx                                 36        installed
python3-commandnotfound               36        installed
libxcb-shm0                           36        installed
libclone-perl                         36        installed
libpython3-stdlib                     36        installed
a11y-profile-manager-indicator        36        installed
libnpth0                              36        installed
gir1.2-xkl-1.0                        36        installed
libmtp-runtime                        36        installed
libkeyutils1                          36        installed
